topic,value
2016 trends fashion,100
2016 trends,100
2016 fashion,100
fall fashion trends,35
fall fashion,30
2016 fall fashion,25
fall 2016 trends,25
fashion trends 2015,20
spring fashion trends,20
spring 2016 fashion,20
spring trends 2016,20
spring 2016,20
summer fashion trends,15
summer 2016 fashion,15
mens fashion trends,10
mens fashion,10
summer 2016 trends,10
men fashion trends,10
latest fashion trends,10
new fashion trends,10
winter fashion trends,10
current fashion trends,10
90s fashion,10
90s fashion trends,5
citi trends,5